packet_id,item_id,model_tag,model_id,qtype,difficulty,concept,seed
9B56D6BB,Fill_FD28D773,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,17
D4D2F806,Fill_B9B7171B,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,91
188A1516,Fill_8D3EF2EF,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,91
AA0A52D5,Fill_5AF1F96A,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,17
ABA04208,Fill_046A0B41,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,42
C37575BB,Fill_C9C0A21B,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,42
C9620FAF,Fill_F7D6EC5E,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,91
4D512633,Fill_F1CB257E,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,42
C02CE39E,Fill_AFDF699F,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Easy,multi_step,17
39E5D7A9,Fill_58142C38,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,17
E7077296,Fill_66687AC5,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,42
83DC7866,Fill_6CD8B224,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,91
5C95912E,Fill_39698E27,Qwen_Qwen2_5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct,Fill,Medium,arithmetic,42
