scenario_id,condition,seed,phase,model_id,model_tag,prompt_version,generated_at,n_tutor_turns,n_learner_turns,exclusion_flag,exclusion_code,exclusion_reason,total_input_tokens,total_output_tokens,total_cost_usd,json_path
SC_0009,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:59:07.107842,11,11,False,,,15157,1534,0.053232,outputs/main/gpt-4o-2024-11-20/C1/SC_0009_17.json
SC_0009,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:59:25.109241,11,11,False,,,13322,1270,0.046005,outputs/main/gpt-4o-2024-11-20/C1/SC_0009_42.json
SC_0009,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:59:45.321785,11,11,False,,,14621,1546,0.052012,outputs/main/gpt-4o-2024-11-20/C1/SC_0009_91.json
SC_0014,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:04:50.243597,5,5,False,,,3626,635,0.015415,outputs/main/gpt-4o-2024-11-20/C1/SC_0014_17.json
SC_0014,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:04:58.528000,5,5,False,,,3150,466,0.012535,outputs/main/gpt-4o-2024-11-20/C1/SC_0014_42.json
SC_0014,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:05:10.716153,5,5,False,,,3383,582,0.014277,outputs/main/gpt-4o-2024-11-20/C1/SC_0014_91.json
SC_0040,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:06:45.779114,12,12,False,,,9771,714,0.031567,outputs/main/gpt-4o-2024-11-20/C1/SC_0040_17.json
SC_0040,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:07:04.727054,12,12,False,,,9984,870,0.03366,outputs/main/gpt-4o-2024-11-20/C1/SC_0040_42.json
SC_0040,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:07:24.054652,12,12,False,,,10362,914,0.035045,outputs/main/gpt-4o-2024-11-20/C1/SC_0040_91.json
SC_0046,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:30:16.887391,8,8,False,,,6392,775,0.02373,outputs/main/gpt-4o-2024-11-20/C1/SC_0046_17.json
SC_0046,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:10:58.571145,8,8,False,,,6080,679,0.02199,outputs/main/gpt-4o-2024-11-20/C1/SC_0046_42.json
SC_0046,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:11:10.481072,8,8,False,,,6216,710,0.02264,outputs/main/gpt-4o-2024-11-20/C1/SC_0046_91.json
SC_0072,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:12:38.475774,5,5,False,,,4378,716,0.018105,outputs/main/gpt-4o-2024-11-20/C1/SC_0072_17.json
SC_0072,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:12:49.312447,5,5,False,,,4428,720,0.01827,outputs/main/gpt-4o-2024-11-20/C1/SC_0072_42.json
SC_0072,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:13:02.839409,5,5,False,,,4531,768,0.019007,outputs/main/gpt-4o-2024-11-20/C1/SC_0072_91.json
SC_0097,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:15:26.695261,14,14,False,,,12718,945,0.041245,outputs/main/gpt-4o-2024-11-20/C1/SC_0097_17.json
SC_0097,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:15:46.821636,14,14,False,,,13097,1004,0.042783,outputs/main/gpt-4o-2024-11-20/C1/SC_0097_42.json
SC_0097,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:16:07.945549,14,14,False,,,14099,986,0.045107,outputs/main/gpt-4o-2024-11-20/C1/SC_0097_91.json
SC_0123,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:19:13.585285,8,8,False,,,5889,542,0.020143,outputs/main/gpt-4o-2024-11-20/C1/SC_0123_17.json
SC_0123,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:19:27.045615,8,8,True,E2,Turn 3: non-math content (war),6386,578,0.021745,outputs/main/gpt-4o-2024-11-20/C1/SC_0123_42.json
SC_0123,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:19:38.466860,8,8,False,,,6641,636,0.022962,outputs/main/gpt-4o-2024-11-20/C1/SC_0123_91.json
SC_0132,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T01:34:57.868185,8,8,False,,,6485,583,0.022042,outputs/main/gpt-4o-2024-11-20/C1/SC_0132_17.json
SC_0132,C1,42,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:21:53.606961,8,8,False,,,6816,614,0.02318,outputs/main/gpt-4o-2024-11-20/C1/SC_0132_42.json
SC_0132,C1,91,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:22:05.605189,8,8,False,,,6279,469,0.020387,outputs/main/gpt-4o-2024-11-20/C1/SC_0132_91.json
SC_0157,C1,17,main,gpt-4o-2024-11-20,gpt-4o-2024-11-20,v1.0,2026-05-16T02:23:35.728291,5,5,False,,,3776,458,0.01402,outputs/main/gpt-4o-2024-11-20/C1/SC_0157_17.json
