scenario_id,condition,seed,phase,model_id,model_tag,prompt_version,generated_at,n_tutor_turns,n_learner_turns,exclusion_flag,exclusion_code,exclusion_reason,total_input_tokens,total_output_tokens,total_cost_usd,json_path
SC_0009,C1,17,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:11:57.053062,11,11,False,,,12442,1077,0.008192,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0009_17.json
SC_0009,C1,42,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:12:54.664661,11,11,False,,,14266,1387,0.009513,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0009_42.json
SC_0009,C1,91,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:14:02.261445,11,11,False,,,14534,1441,0.009713,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0009_91.json
SC_0014,C1,17,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:23:43.838385,5,5,False,,,3411,502,0.002409,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0014_17.json
SC_0014,C1,42,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:24:06.706762,5,5,False,,,3450,501,0.002431,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0014_42.json
SC_0014,C1,91,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:24:27.323811,5,5,False,,,3408,447,0.002364,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0014_91.json
SC_0040,C1,17,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:30:57.514741,12,12,False,,,10902,1060,0.00727,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0040_17.json
SC_0040,C1,42,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:31:47.684059,12,12,False,,,10310,942,0.006827,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0040_42.json
SC_0040,C1,91,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:32:37.079640,12,12,False,,,10443,818,0.006808,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0040_91.json
SC_0046,C1,17,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T01:44:05.473488,8,8,False,,,7294,947,0.005052,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0046_17.json
SC_0046,C1,42,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:50:01.360304,8,8,False,,,6909,1209,0.005031,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0046_42.json
SC_0046,C1,91,main,meta-llama/Llama-3.1-70B-Instruct,meta-llama_Llama-3.1-70B-Instruct,v1.0,2026-05-16T02:50:42.758298,8,8,False,,,6390,715,0.004335,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0046_91.json
