z_why,c_id,c_h,c_r_,c_r,lesson_topic,c_revision,z_what,e,_split
clarify_misunderstanding,4110653_19,"[{'id': 19, 'text': 'Sounds great.', 'time': '16:19', 'user': 'tutor'}
 {'id': 20, 'text': 'Use the area formula to find the area of the current patio.', 'time': '16:25', 'user': 'tutor'}
 {'id': 21, 'text': 'What is the area of the pink rectangle?', 'time': '16:37', 'user': 'tutor'}
 {'id': 22, 'text': '4 m', 'time': '17:13', 'user': 'student'}]","[{'is_revised': True, 'text': 'Hm, not quite', 'user': 'tutor'}
 {'is_revised': True, 'text': 'To get the area of a rectangle, we need to multiply the length and the width together. 4m is the length, could you tell me what the width is?', 'user': 'tutor'}]","[{'id': 23, 'text': ""That's incorrect."", 'time': '17:51', 'user': 'tutor'}
 {'id': 24, 'text': 'We have to multiply the 4 and 3.', 'time': '18:39', 'user': 'tutor'}]",3.6D.Decomposing Figures,"[{'is_revised': True, 'text': 'Hm, not quite', 'user': 'tutor'}
 {'is_revised': True, 'text': 'To get the area of a rectangle, we need to multiply the length and the width together. 4m is the length, could you tell me what the width is?', 'user': 'tutor'}
 {'is_revised': True, 'text': '3 m', 'user': 'student'}
 {'is_revised': True, 'text': ""That's right! Please multiply them together and let me know what you get"", 'user': 'tutor'}
 {'is_revised': True, 'text': '12', 'user': 'student'}
 {'is_revised': True, 'text': 'Well done! The area of the patio is 12 square meters', 'user': 'tutor'}]",explain_concept,guess,train
elaborate_answer,2950057_118,"[{'id': 118, 'text': 'Excellent work! Plus 1 point.', 'time': '37:19', 'user': 'tutor'}
 {'id': 119, 'text': 'Here comes the question.', 'time': '37:33', 'user': 'tutor'}
 {'id': 120, 'text': 'Is that your final answer?', 'time': '38:44', 'user': 'tutor'}
 {'id': 121, 'text': '0.8', 'time': '39:18', 'user': 'student'}]","[{'is_revised': True, 'text': 'Correct! How would we write 0.8 in standard form?', 'user': 'tutor'}]","[{'id': 122, 'text': 'Please recheck your answer.', 'time': '39:28', 'user': 'tutor'}
 {'id': 123, 'text': ""That's the correct answer."", 'time': '40:12', 'user': 'tutor'}
 {'id': 124, 'text': 'Good job! Plus 1 point. Keep it up.', 'time': '40:18', 'user': 'tutor'}
 {'id': 125, 'text': 'Here comes the practice question.', 'time': '40:43', 'user': 'tutor'}
 {'id': 126, 'text': 'Way to go!', 'time': '40:48', 'user': 'tutor'}
 {'id': 127, 'text': 'We are left with the last 3 minutes.', 'time': '41:36', 'user': 'tutor'}]",5.2A.Decimal Numbers,"[{'is_revised': True, 'text': 'Correct! How would we write 0.8 in standard form?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'eight tenths', 'user': 'student'}
 {'is_revised': True, 'text': 'Good job!', 'user': 'tutor'}]",ask_question,diagnose,train
understand_topic,2989485_22,"[{'id': 22, 'text': 'You are doing a good job.', 'time': '08:57', 'user': 'tutor'}
 {'id': 23, 'text': 'So far so good. keep going.', 'time': '09:40', 'user': 'tutor'}
 {'id': 24, 'text': 'Are you done with your answer?', 'time': '10:29', 'user': 'tutor'}
 {'id': 25, 'text': 'yes', 'time': '10:34', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! When we convert fractions to decimals we want to think about it as part of a whole. So, 1/2 is 0.5 because 0.5 is half of 1!', 'user': 'tutor'}]","[{'id': 26, 'text': 'That was a good try.', 'time': '10:46', 'user': 'tutor'}
 {'id': 27, 'text': 'Plus one point for your work.', 'time': '11:02', 'user': 'tutor'}
 {'id': 28, 'text': 'Let me explain it to you.', 'time': '11:14', 'user': 'tutor'}
 {'id': 29, 'text': 'We can use the place value chart.', 'time': '12:18', 'user': 'tutor'}
 {'id': 30, 'text': 'Stop erasing the content on the whiteboard.', 'time': '13:02', 'user': 'tutor'}]",4.2G.Convert Fractions to Decimal Form,"[{'is_revised': True, 'text': 'Great try! When we convert fractions to decimals we want to think about it as part of a whole. So, 1/2 is 0.5 because 0.5 is half of 1!', 'user': 'tutor'}
 {'is_revised': True, 'text': 'oh ok. so 1/4 is...?', 'user': 'student'}
 {'is_revised': True, 'text': 'One fourth of one, or 0.25!', 'user': 'tutor'}]",provide_strategy,guess,train
hint_mistake,2928616_65,"[{'id': 65, 'text': 'Finally, we need to add the areas of both rectangles.', 'time': '32:04', 'user': 'tutor'}
 {'id': 66, 'text': 'Go ahead and try to find the answer.', 'time': '32:49', 'user': 'tutor'}
 {'id': 67, 'text': 'What is the value of 36+42?', 'time': '33:30', 'user': 'tutor'}
 {'id': 68, 'text': '1,512', 'time': '33:51', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try - looks like you solved the problem 36 x 42.', 'user': 'tutor'}]","[{'id': 69, 'text': 'That was a very good try.', 'time': '34:02', 'user': 'tutor'}
 {'id': 70, 'text': 'Plus 1 point for your try.', 'time': '34:11', 'user': 'tutor'}]",6.8D.Areas by Decomposition,"[{'is_revised': True, 'text': 'Great try - looks like you solved the problem 36 x 42.', 'user': 'tutor'}
 {'is_revised': True, 'text': 'oh I did. 36+42 is 78', 'user': 'student'}
 {'is_revised': True, 'text': 'Great job!', 'user': 'tutor'}]",provide_correction,careless,train
support_thinking,4054798_68,"[{'id': 68, 'text': 'Since 16.50 and 12.95 have less than 2 tens, we know that they are both less than 20.', 'time': '33:58', 'user': 'tutor'}
 {'id': 69, 'text': 'Hence Marty saved less than his goal in May and July.', 'time': '34:49', 'user': 'tutor'}
 {'id': 70, 'text': 'Do you understand what I did?', 'time': '35:05', 'user': 'tutor'}
 {'id': 71, 'text': 'a little bit', 'time': '35:18', 'user': 'student'}]","[{'is_revised': True, 'text': ""Let's try another problem. Let's say Marty is trying to save more than $40. If he saved $32.45, did he meet his goal?"", 'user': 'tutor'}]","[{'id': 72, 'text': 'Do you mind explaining which part you are not quite understanding?', 'time': '36:07', 'user': 'tutor'}
 {'id': 73, 'text': 'Please reply through the chatbox.', 'time': '37:05', 'user': 'tutor'}]",5.2A.Comparing Decimals,"[{'is_revised': True, 'text': ""Let's try another problem. Let's say Marty is trying to save more than $40. If he saved $32.45, did he meet his goal?"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'no? because 3 is less than 4?', 'user': 'student'}
 {'is_revised': True, 'text': 'Correct!', 'user': 'tutor'}]",provide_similar_problem,guess,train
understand_topic,4055603_103,"[{'id': 103, 'text': 'Is that your final answer?', 'time': '55:30', 'user': 'tutor'}
 {'id': 104, 'text': 'no\\\\', 'time': '55:37', 'user': 'student'}
 {'id': 105, 'text': 'What is the final answer?', 'time': '55:55', 'user': 'tutor'}
 {'id': 106, 'text': 'nhw', 'time': '55:58', 'user': 'student'}]","[{'is_revised': True, 'text': ""Sorry, I don't understand. Could you type it again?"", 'user': 'tutor'}]","[{'id': 107, 'text': ""That's incorrect."", 'time': '56:17', 'user': 'tutor'}]",3.2B.Multiples of Ten,"[{'is_revised': True, 'text': ""Sorry, I don't understand. Could you type it again?"", 'user': 'tutor'}
 {'is_revised': True, 'text': '900', 'user': 'student'}
 {'is_revised': True, 'text': 'Ah, not quite.', 'user': 'tutor'}
 {'is_revised': True, 'text': ""When we multiply by 10, all we need to do is add a 0 to the right of the number we're multiplying"", 'user': 'tutor'}
 {'is_revised': True, 'text': 'So for example, 17 x 10 = 170', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Notice how we just added a 0 to the right end of 17 ', 'user': 'tutor'}]",explain_concept,guess,train
hint_mistake,2916421_82,"[{'id': 82, 'text': 'Here is your next question.', 'time': '38:26', 'user': 'tutor'}
 {'id': 83, 'text': 'Go ahead.', 'time': '38:30', 'user': 'tutor'}
 {'id': 84, 'text': 'Is that your final answer?', 'time': '40:48', 'user': 'tutor'}
 {'id': 85, 'text': 'no mam', 'time': '41:16', 'user': 'student'}]","[{'is_revised': True, 'text': 'Ok, take your time', 'user': 'tutor'}]","[{'id': 86, 'text': 'Please recheck your answer.', 'time': '41:25', 'user': 'tutor'}]",5.3K.Decimal Numbers,"[{'is_revised': True, 'text': 'Ok, take your time', 'user': 'tutor'}
 {'is_revised': True, 'text': 'Is it 5.2?', 'user': 'student'}
 {'is_revised': True, 'text': ""You're close. Don't forget to carry over the 1 when adding"", 'user': 'tutor'}
 {'is_revised': True, 'text': ""Oh, it's 6.2"", 'user': 'student'}
 {'is_revised': True, 'text': 'Yes, well done!', 'user': 'tutor'}]",provide_hint,right-idea,train
understand_topic,2963055_17,"[{'id': 17, 'text': ""I'm not able to hear you."", 'time': '08:35', 'user': 'tutor'}
 {'id': 18, 'text': 'okay', 'time': '08:45', 'user': 'student'}
 {'id': 19, 'text': 'How long is the wood the carpenter wants to break into pieces?', 'time': '10:04', 'user': 'tutor'}
 {'id': 20, 'text': '2 inches', 'time': '10:17', 'user': 'student'}]","[{'is_revised': True, 'text': 'Hmm, not quite. Could you let me know how you got 2 inches?', 'user': 'tutor'}]","[{'id': 21, 'text': 'That was a good try.', 'time': '10:46', 'user': 'tutor'}
 {'id': 22, 'text': 'Your scoreboard opens with a point for your participation.', 'time': '10:58', 'user': 'tutor'}]",3.1G.Shapes and Area (Review) - 2,"[{'is_revised': True, 'text': 'Hmm, not quite. Could you let me know how you got 2 inches?', 'user': 'tutor'}
 {'is_revised': True, 'text': 'I measured it', 'user': 'student'}
 {'is_revised': True, 'text': 'Oh I see! The picture is just used as a reference. It is not drawn to scale. If you take a look at the second line in the problem, it will say how long the wood is', 'user': 'tutor'}
 {'is_revised': True, 'text': '4 feet', 'user': 'student'}
 {'is_revised': True, 'text': 'Well done!', 'user': 'tutor'}]",provide_hint,guess,train
clarify_misunderstanding,6172033_30,"[{'id': 30, 'text': 'You are the best', 'time': '09:25', 'user': 'student'}
 {'id': 31, 'text': 'Read the question carefully.', 'time': '09:48', 'user': 'tutor'}
 {'id': 32, 'text': 'How many times 27 can go into the 4th fact?', 'time': '09:54', 'user': 'tutor'}
 {'id': 33, 'text': '4  times in', 'time': '10:23', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try, but that is incorrect. We want to know how many times 4 can go into 27.', 'user': 'tutor'}]","[{'id': 34, 'text': 'That was a very good try.', 'time': '10:38', 'user': 'tutor'}
 {'id': 35, 'text': 'The value of 4 times 4 is equal to 16.', 'time': '10:48', 'user': 'tutor'}
 {'id': 36, 'text': 'We can check the 4th fact the value of 6 times 4 is equal to 24.', 'time': '11:20', 'user': 'tutor'}]",4.4G.Dividing with Remainders,"[{'is_revised': True, 'text': 'Great try, but that is incorrect. We want to know how many times 4 can go into 27.', 'user': 'tutor'}
 {'is_revised': True, 'text': ""It can't"", 'user': 'student'}
 {'is_revised': True, 'text': 'You are correct in that it will not be a whole number, but it can go in (with a remainder).', 'user': 'tutor'}]",ask_question,misinterpret,train
understand_topic,6165953_133,"[{'id': 133, 'text': 'Sorry for the delays.', 'time': '36:31', 'user': 'tutor'}
 {'id': 134, 'text': 'its ok', 'time': '36:39', 'user': 'student'}
 {'id': 135, 'text': 'What is the name of quadrilateral having the length bigger than width?', 'time': '37:05', 'user': 'tutor'}
 {'id': 136, 'text': 'rhombus', 'time': '37:16', 'user': 'student'}]","[{'is_revised': True, 'text': 'Great try! A rhombus has 4 congruent sides.', 'user': 'tutor'}]","[{'id': 137, 'text': 'Good try! recheck the answer.', 'time': '37:29', 'user': 'tutor'}]",3.6B.Quadrilaterals (Review) - 2,"[{'is_revised': True, 'text': 'Great try! A rhombus has 4 congruent sides.', 'user': 'tutor'}
 {'is_revised': True, 'text': 'oh yeah', 'user': 'student'}
 {'is_revised': True, 'text': 'a rectangle is a quadrilateral with a greater length than width', 'user': 'tutor'}]",explain_concept,guess,train
