packet_id,true_condition,scenario_id,model_tag,seed,json_path,calibration,n_leakage_redactions
3F41FA92,C1,SC_0746,claude-sonnet-4-5-20250929,91,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0746_91.json,True,0
B9C639FD,C1,SC_0725,claude-sonnet-4-5-20250929,42,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0725_42.json,True,0
C6FBF897,C1,SC_0072,claude-sonnet-4-5-20250929,91,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0072_91.json,True,0
A3E5DD4C,C1,SC_1340,gemini-2.5-pro,42,outputs/main/gemini-2.5-pro/C1/SC_1340_42.json,True,0
67F87C4A,C1,SC_1876,gemini-2.5-pro,17,outputs/main/gemini-2.5-pro/C1/SC_1876_17.json,True,0
E997E795,C1,SC_1278,gemini-2.5-pro,42,outputs/main/gemini-2.5-pro/C1/SC_1278_42.json,True,0
87E686BC,C1,SC_1278,gpt-4o-2024-11-20,91,outputs/main/gpt-4o-2024-11-20/C1/SC_1278_91.json,True,0
37718D30,C1,SC_1082,gpt-4o-2024-11-20,42,outputs/main/gpt-4o-2024-11-20/C1/SC_1082_42.json,True,0
BA68E217,C1,SC_1523,gpt-4o-2024-11-20,17,outputs/main/gpt-4o-2024-11-20/C1/SC_1523_17.json,True,0
1D68C12C,C1,SC_0527,meta-llama_Llama-3.1-70B-Instruct,42,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0527_42.json,True,0
9D3146CF,C1,SC_0921,meta-llama_Llama-3.1-70B-Instruct,42,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_0921_42.json,True,0
02B63390,C1,SC_2231,meta-llama_Llama-3.1-70B-Instruct,17,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C1/SC_2231_17.json,True,0
C41CFBAB,C2,SC_0046,claude-sonnet-4-5-20250929,91,outputs/main/claude-sonnet-4-5-20250929/C2/SC_0046_91.json,True,0
7FDB0663,C2,SC_1572,claude-sonnet-4-5-20250929,17,outputs/main/claude-sonnet-4-5-20250929/C2/SC_1572_17.json,True,0
11F96291,C2,SC_1030,claude-sonnet-4-5-20250929,17,outputs/main/claude-sonnet-4-5-20250929/C2/SC_1030_17.json,True,0
5BC736D9,C2,SC_2074,gemini-2.5-pro,17,outputs/main/gemini-2.5-pro/C2/SC_2074_17.json,True,0
24CA5FF5,C2,SC_0871,gemini-2.5-pro,17,outputs/main/gemini-2.5-pro/C2/SC_0871_17.json,True,0
A8556BE8,C2,SC_0046,gemini-2.5-pro,91,outputs/main/gemini-2.5-pro/C2/SC_0046_91.json,True,0
2BE789DE,C2,SC_0072,gpt-4o-2024-11-20,17,outputs/main/gpt-4o-2024-11-20/C2/SC_0072_17.json,True,0
26519F87,C2,SC_0195,gpt-4o-2024-11-20,17,outputs/main/gpt-4o-2024-11-20/C2/SC_0195_17.json,True,0
932F5550,C2,SC_1527,gpt-4o-2024-11-20,17,outputs/main/gpt-4o-2024-11-20/C2/SC_1527_17.json,True,0
43737894,C2,SC_2108,meta-llama_Llama-3.1-70B-Instruct,17,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C2/SC_2108_17.json,True,0
F91B22E2,C2,SC_1030,meta-llama_Llama-3.1-70B-Instruct,91,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C2/SC_1030_91.json,True,0
43B54A70,C2,SC_0487,meta-llama_Llama-3.1-70B-Instruct,17,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C2/SC_0487_17.json,True,0
85DB81DC,C3,SC_1340,claude-sonnet-4-5-20250929,42,outputs/main/claude-sonnet-4-5-20250929/C3/SC_1340_42.json,True,0
AC151F45,C3,SC_0688,claude-sonnet-4-5-20250929,91,outputs/main/claude-sonnet-4-5-20250929/C3/SC_0688_91.json,True,0
CEE67AE2,C3,SC_1253,claude-sonnet-4-5-20250929,91,outputs/main/claude-sonnet-4-5-20250929/C3/SC_1253_91.json,True,0
F095C3CD,C3,SC_0996,gemini-2.5-pro,91,outputs/main/gemini-2.5-pro/C3/SC_0996_91.json,True,0
78A15FAD,C3,SC_0809,gemini-2.5-pro,91,outputs/main/gemini-2.5-pro/C3/SC_0809_91.json,True,0
8FBFFDCB,C3,SC_1973,gemini-2.5-pro,42,outputs/main/gemini-2.5-pro/C3/SC_1973_42.json,True,0
6D064A2D,C3,SC_0946,gpt-4o-2024-11-20,17,outputs/main/gpt-4o-2024-11-20/C3/SC_0946_17.json,True,0
216B3FCC,C3,SC_1470,gpt-4o-2024-11-20,17,outputs/main/gpt-4o-2024-11-20/C3/SC_1470_17.json,True,0
AF741860,C3,SC_0040,gpt-4o-2024-11-20,91,outputs/main/gpt-4o-2024-11-20/C3/SC_0040_91.json,True,0
A94EE29D,C3,SC_1838,meta-llama_Llama-3.1-70B-Instruct,17,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C3/SC_1838_17.json,True,0
5665A72F,C3,SC_0553,meta-llama_Llama-3.1-70B-Instruct,42,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C3/SC_0553_42.json,True,0
E4AA1D26,C3,SC_1572,meta-llama_Llama-3.1-70B-Instruct,91,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C3/SC_1572_91.json,True,0
9085890E,C4,SC_1116,claude-sonnet-4-5-20250929,91,outputs/main/claude-sonnet-4-5-20250929/C4/SC_1116_91.json,True,0
4A7AC8FF,C4,SC_1119,claude-sonnet-4-5-20250929,17,outputs/main/claude-sonnet-4-5-20250929/C4/SC_1119_17.json,True,0
F51A5278,C4,SC_1030,claude-sonnet-4-5-20250929,17,outputs/main/claude-sonnet-4-5-20250929/C4/SC_1030_17.json,True,0
E3BB5E0B,C4,SC_1974,gemini-2.5-pro,42,outputs/main/gemini-2.5-pro/C4/SC_1974_42.json,True,0
BFA0A414,C4,SC_1368,gemini-2.5-pro,91,outputs/main/gemini-2.5-pro/C4/SC_1368_91.json,True,0
AC33DF73,C4,SC_1486,gemini-2.5-pro,91,outputs/main/gemini-2.5-pro/C4/SC_1486_91.json,True,0
A9B460FF,C4,SC_2135,gpt-4o-2024-11-20,42,outputs/main/gpt-4o-2024-11-20/C4/SC_2135_42.json,True,0
158C7E09,C4,SC_0323,gpt-4o-2024-11-20,91,outputs/main/gpt-4o-2024-11-20/C4/SC_0323_91.json,True,0
C2619BB7,C4,SC_1572,gpt-4o-2024-11-20,42,outputs/main/gpt-4o-2024-11-20/C4/SC_1572_42.json,True,0
3616E8BA,C4,SC_1838,meta-llama_Llama-3.1-70B-Instruct,17,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C4/SC_1838_17.json,True,0
44D9B736,C4,SC_1474,meta-llama_Llama-3.1-70B-Instruct,42,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C4/SC_1474_42.json,True,0
610BAB47,C4,SC_1429,meta-llama_Llama-3.1-70B-Instruct,91,outputs/main/meta-llama_Llama-3.1-70B-Instruct/C4/SC_1429_91.json,True,0
